character_name,create_date,cube_type,miracle_time_flag,item_equip_part,item_level,target_item,potential_option_grade,additional_potential_option_grade,before_potential_options,before_additional_potential_options,after_potential_options,after_additional_potential_options
원기의야망,2022-12-02T23:32:47+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '최대 MP : +6%', 'grade': '에픽'}, {'value': '공격 시 10% 확률로 2레벨 슬로우효과 적용', 'grade': '레어'}]",[],"[{'value': '공격력 : +6%', 'grade': '에픽'}, {'value': 'DEX : +3%', 'grade': '레어'}]",[]
원기의야망,2022-12-02T23:32:45+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '최대 HP : +6%', 'grade': '에픽'}, {'value': '공격 시 5% 확률로 2레벨 봉인효과 적용', 'grade': '레어'}]",[],"[{'value': '최대 MP : +6%', 'grade': '에픽'}, {'value': '공격 시 10% 확률로 2레벨 슬로우효과 적용', 'grade': '레어'}]",[]
원기의야망,2022-12-02T23:32:43+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '피격 시 20% 확률로 21의 데미지 무시', 'grade': '에픽'}, {'value': '공격 시 5% 확률로 2레벨 봉인효과 적용', 'grade': '레어'}]",[],"[{'value': '최대 HP : +6%', 'grade': '에픽'}, {'value': '공격 시 5% 확률로 2레벨 봉인효과 적용', 'grade': '레어'}]",[]
원기의야망,2022-12-02T23:32:42+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '최대 MP : +6%', 'grade': '에픽'}, {'value': 'LUK : +3%', 'grade': '레어'}]",[],"[{'value': '피격 시 20% 확률로 21의 데미지 무시', 'grade': '에픽'}, {'value': '공격 시 5% 확률로 2레벨 봉인효과 적용', 'grade': '레어'}]",[]
원기의야망,2022-12-02T23:32:40+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '최대 HP : +6%', 'grade': '에픽'}, {'value': '공격 시 10% 확률로 2레벨 슬로우효과 적용', 'grade': '레어'}]",[],"[{'value': '최대 MP : +6%', 'grade': '에픽'}, {'value': 'LUK : +3%', 'grade': '레어'}]",[]
원기의야망,2022-12-02T23:32:38+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '공격 시 3% 확률로 47의 MP 회복', 'grade': '에픽'}, {'value': '공격 시 10% 확률로 5레벨 중독효과 적용', 'grade': '레어'}]",[],"[{'value': '최대 HP : +6%', 'grade': '에픽'}, {'value': '공격 시 10% 확률로 2레벨 슬로우효과 적용', 'grade': '레어'}]",[]
원기의야망,2022-12-19T01:09:48+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': 'LUK : +6%', 'grade': '에픽'}, {'value': 'LUK : +3%', 'grade': '레어'}]",[],"[{'value': '데미지 : +6%', 'grade': '에픽'}, {'value': 'DEX : +12', 'grade': '레어'}]",[]
원기의야망,2022-12-19T01:09:46+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': 'LUK : +6%', 'grade': '에픽'}, {'value': '피격 시 30% 확률로 43의 데미지 무시', 'grade': '에픽'}]",[],"[{'value': 'LUK : +6%', 'grade': '에픽'}, {'value': 'LUK : +3%', 'grade': '레어'}]",[]
원기의야망,2022-12-19T01:09:44+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '피격 시 20% 확률로 32의 데미지 무시', 'grade': '에픽'}, {'value': 'DEX : +3%', 'grade': '레어'}]",[],"[{'value': 'LUK : +6%', 'grade': '에픽'}, {'value': '피격 시 30% 확률로 43의 데미지 무시', 'grade': '에픽'}]",[]
원기의야망,2022-12-19T01:09:42+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '마력 : +6%', 'grade': '에픽'}, {'value': '최대 HP : +100', 'grade': '레어'}]",[],"[{'value': '피격 시 20% 확률로 32의 데미지 무시', 'grade': '에픽'}, {'value': 'DEX : +3%', 'grade': '레어'}]",[]
원기의야망,2022-12-19T01:09:41+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': 'DEX : +6%', 'grade': '에픽'}, {'value': 'STR : +12', 'grade': '레어'}]",[],"[{'value': '마력 : +6%', 'grade': '에픽'}, {'value': '최대 HP : +100', 'grade': '레어'}]",[]
원기의야망,2022-12-19T01:09:39+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 샤이니 브레이슬릿,에픽,노멀,"[{'value': '공격력 : +6%', 'grade': '에픽'}, {'value': 'DEX : +3%', 'grade': '레어'}]",[],"[{'value': 'DEX : +6%', 'grade': '에픽'}, {'value': 'STR : +12', 'grade': '레어'}]",[]
원기의공백,2022-12-22T23:59:28+09:00,장인의 큐브,이벤트 적용되지 않음,보조무기,100,블랙 여우구슬,에픽,노멀,"[{'value': '공격 시 3% 확률로 47의 HP 회복', 'grade': '에픽'}, {'value': 'STR : +12', 'grade': '레어'}, {'value': '공격 시 10% 확률로 5레벨 중독효과 적용', 'grade': '레어'}]",[],"[{'value': 'INT : +6%', 'grade': '에픽'}, {'value': '공격 시 5% 확률로 2레벨 빙결효과 적용', 'grade': '레어'}, {'value': '마력 : +3%', 'grade': '레어'}]",[]
원기의공백,2022-12-23T14:32:35+09:00,수상한 큐브,이벤트 적용되지 않음,장갑,140,펜살리르 스키퍼글러브,에픽,노멀,"[{'value': '방어력 : +6%', 'grade': '에픽'}, {'value': '최대 HP : +3%', 'grade': '레어'}, {'value': 'INT : +12', 'grade': '레어'}]",[],"[{'value': 'STR : +6%', 'grade': '에픽'}, {'value': '최대 MP : +120', 'grade': '레어'}, {'value': '방어력 : +120', 'grade': '레어'}]",[]
